X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,MAGNET_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,TITLEI,STITLEI,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-86.2062,34.2602,1,010000500870,2020-2021,AL,0100005,AL-101,Albertville City,Albertville Middle School,600 E Alabama Ave,,Albertville,AL,35950,    ,(256)878-2341,No,No,Not Virtual,07,08,Middle,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,332,332,0,,,,,,,,,469,439,,,,,,,,,,908,908,42,21.62,1,1,2,0,4,4,18,15,33,0,0,0,239,230,469,19,10,29,187,184,371,34.2602,-86.2062
-86.2049,34.2622,2,010000500871,2020-2021,AL,0100005,AL-101,Albertville City,Albertville High School,402 E McCord Ave,,Albertville,AL,35950,2322,(256)894-5000,No,No,Not Virtual,09,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,456,456,0,,,,,,,,,,,421,427,384,374,,,,,,1606,1606,82,19.59,1,0,1,4,2,6,33,37,70,0,0,0,414,371,785,17,21,38,368,338,706,34.2622,-86.2049
-86.2201,34.2733,3,010000500879,2020-2021,AL,0100005,AL-101,Albertville City,Albertville Intermediate School,901 W McKinney Ave,,Albertville,AL,35950,1300,(256)878-7698,No,No,Not Virtual,05,06,Middle,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,330,330,0,,,,,,,439,452,,,,,,,,,,,,891,891,41,21.73,3,1,4,4,3,7,12,12,24,0,1,1,228,253,481,17,12,29,177,168,345,34.2733,-86.2201
-86.221806,34.2527,4,010000500889,2020-2021,AL,0100005,AL-101,Albertville City,Albertville Elementary School,145 West End Drive,,Albertville,AL,35950,    ,(256)894-4822,No,No,Not Virtual,03,04,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,397,397,0,,,,,435,473,,,,,,,,,,,,,,908,908,49,18.53,2,2,4,4,0,4,22,26,48,0,0,0,260,237,497,7,8,15,180,160,340,34.2527,-86.221806
-86.1933,34.2898,5,010000501616,2020-2021,AL,0100005,AL-101,Albertville City,Albertville Kindergarten and PreK,257 Country Club Rd,,Albertville,AL,35951,3927,(256)878-7922,No,No,Not Virtual,PK,KG,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,181,181,0,113,443,,,,,,,,,,,,,,,,,,556,556,30,18.53,3,1,4,2,0,2,16,17,33,0,0,0,151,137,288,6,7,13,108,108,216,34.2898,-86.1933
-86.2218,34.2533,6,010000502150,2020-2021,AL,0100005,AL-101,Albertville City,Albertville Primary School,1100 Horton Rd,,Albertville,AL,35950,2532,(256)878-6611,No,No,Not Virtual,01,02,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,32-Town: Distant,Marshall County,422,422,0,0,,480,493,,,,,,,,,,,,,,,,973,973,57.5,16.92,1,1,2,0,4,4,24,13,37,0,0,0,290,263,553,14,12,26,194,157,351,34.2533,-86.2218
-86.2541,34.5337,7,010000600193,2020-2021,AL,0100006,AL-048,Marshall County,Kate Duncan Smith DAR Middle,6077 Main St,,Grant,AL,35747,    ,(256)728-5950,No,No,Not Virtual,05,08,Middle,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,156,127,29,,,,,,,81,91,101,100,,,,,,,,,,373,373,20.60000038,18.11,1,1,2,1,2,3,0,2,2,0,0,0,6,9,15,4,6,10,170,171,341,34.5337,-86.2541
-86.142,34.3625,8,010000600872,2020-2021,AL,0100006,AL-048,Marshall County,Asbury High School,1990 Asbury Rd,,Albertville,AL,35951,    ,(256)878-4068,No,No,Not Virtual,06,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,524,473,51,,,,,,,,97,97,81,92,91,82,88,,,,,,628,628,33.08000183,18.98,0,1,1,1,1,2,5,4,9,0,0,0,125,160,285,1,2,3,182,146,328,34.3625,-86.142
-86.2704,34.4069,9,010000600876,2020-2021,AL,0100006,AL-048,Marshall County,Claysville School,140 Claysville School Rd,,Guntersville,AL,35976,    ,(256)582-4444,No,No,Not Virtual,PK,PK,Prekindergarten,2-No,N,1,Regular school,Currently operational ,41-Rural: Fringe,Marshall County,,,,5,,,,,,,,,,,,,,,,,,,5,5,,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1,3,34.4069,-86.2704
-86.321259,34.176234,10,010000600877,2020-2021,AL,0100006,AL-048,Marshall County,Douglas Elementary School,Highway 75,,Douglas,AL,35964,    ,(256)593-4420,No,No,Not Virtual,03,05,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,243,221,22,0,,,,151,137,168,,,,,,,,,,,,,456,456,19.11000061,23.86,0,1,1,0,1,1,1,2,3,0,1,1,95,109,204,1,3,4,117,125,242,34.176234,-86.321259
-86.319462,34.178658,11,010000600878,2020-2021,AL,0100006,AL-048,Marshall County,Douglas High School,225 Eagle Drive,,Douglas,AL,35964,    ,(256)593-2810,No,No,Not Virtual,09,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,,,,,,,,,,,,,,157,180,174,135,,,,,,646,646,30.18000031,21.4,1,1,2,0,0,0,3,1,4,0,0,0,136,119,255,2,3,5,203,177,380,34.178658,-86.319462
-86.4421,34.3445,12,010000600880,2020-2021,AL,0100006,AL-048,Marshall County,Brindlee Mountain Elementary School,2233 Shoal Creek Rd,,Arab,AL,35016,    ,(256)753-2246,No,No,Not Virtual,03,05,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,41-Rural: Fringe,Marshall County,112,101,11,27,,,,72,62,68,,,,,,,,,,,,,229,229,10.15999985,22.54,2,0,2,3,1,4,1,1,2,0,1,1,8,9,17,0,1,1,111,91,202,34.3445,-86.4421
-86.253261,34.534948,13,010000600883,2020-2021,AL,0100006,AL-048,Marshall County,Kate D Smith DAR High School,6077 Main St,,Grant,AL,35747,    ,(256)728-4238,No,No,Not Virtual,09,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,146,127,19,,,,,,,,,,,114,106,106,108,,,,,,434,434,24.27000046,17.88,0,0,0,0,3,3,2,3,5,0,0,0,9,5,14,6,1,7,225,180,405,34.534948,-86.253261
-86.44683,34.400054,14,010000600887,2020-2021,AL,0100006,AL-048,Marshall County,Brindlee Mountain Primary School,1050 Scant City Road,,Guntersville,AL,35976,    ,(256)753-2532,No,No,Not Virtual,PK,02,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,41-Rural: Fringe,Marshall County,130,112,18,7,75,94,49,,,,,,,,,,,,,,,,225,225,15.13000011,14.87,0,0,0,2,1,3,2,1,3,0,0,0,3,3,6,0,1,1,107,105,212,34.400054,-86.44683
-86.2704,34.4069,15,010000600986,2020-2021,AL,0100006,AL-048,Marshall County,Marshall Alternative School,140 Claysville School Rd,,Guntersville,AL,35976,    ,(256)582-7554,No,No,Not Virtual,03,12,Other,2-No,N,1,Alternative Education School,Currently operational ,41-Rural: Fringe,Marshall County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,34.4069,-86.2704
-86.2859,34.3054,16,010000600987,2020-2021,AL,0100006,AL-048,Marshall County,Marshall Technical School,12312 US Highway 431 S,,Guntersville,AL,35976,9351,(256)582-5629,No,No,Not Virtual,10,12,High,2-No,N,1,Career and Technical School,Currently operational ,41-Rural: Fringe,Marshall County,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,34.3054,-86.2859
-86.322507,34.176774,17,010000601413,2020-2021,AL,0100006,AL-048,Marshall County,Robert D Sloman Primary,200 Bethlehem Rd,,Douglas,AL,35964,    ,(256)593-4912,No,No,Not Virtual,PK,02,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,270,254,16,67,158,137,161,,,,,,,,,,,,,,,,523,523,27.28000069,19.17,3,2,5,1,0,1,5,2,7,0,0,0,85,95,180,0,0,0,166,164,330,34.176774,-86.322507
-86.4219,34.3764,18,010000601585,2020-2021,AL,0100006,AL-048,Marshall County,Brindlee Mountain High School,994 Scant City Road,,Guntersville,AL,35976,    ,(256)753-2800,No,No,Not Virtual,06,12,High,1-Yes,1-Yes,1,Regular school,Currently operational ,41-Rural: Fringe,Marshall County,292,261,31,,,,,,,,82,74,80,84,93,83,79,,,,,,575,575,30.14999962,19.07,1,0,1,1,3,4,8,3,11,1,0,1,24,14,38,1,2,3,267,250,517,34.3764,-86.4219
-86.2542,34.5343,19,010000601685,2020-2021,AL,0100006,AL-048,Marshall County,Kate D Smith DAR Elementary School,6077 Main St,,Grant,AL,35747,    ,(256)728-2226,No,No,Not Virtual,PK,04,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,237,204,33,79,110,98,77,98,98,,,,,,,,,,,,,,560,560,33,16.97,3,5,8,1,3,4,1,5,6,0,0,0,10,13,23,5,4,9,260,250,510,34.5343,-86.2542
-86.320895,34.177536,20,010000601812,2020-2021,AL,0100006,AL-048,Marshall County,Douglas Middle School,Highway 75,,Douglas,AL,35964,    ,(256)593-1240,No,No,Not Virtual,06,08,Middle,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,272,265,7,,,,,,,,161,172,177,,,,,,,,,,510,510,23.70000076,21.52,2,0,2,1,0,1,1,3,4,2,0,2,124,112,236,3,0,3,128,134,262,34.177536,-86.320895
-86.141422,34.362734,21,010000602209,2020-2021,AL,0100006,AL-048,Marshall County,Asbury Elementary School,1966 Asbury Road,,Albertville,AL,35951,    ,(256)878-6221,No,No,Not Virtual,PK,05,Elementary,1-Yes,1-Yes,1,Regular school,Currently operational ,42-Rural: Distant,Marshall County,506,468,38,29,109,103,92,85,97,79,,,,,,,,,,,,,594,594,31.5,18.86,3,2,5,0,3,3,7,2,9,0,1,1,131,116,247,0,3,3,173,153,326,34.362734,-86.141422
-86.8447,33.3409,22,010000700091,2020-2021,AL,0100007,AL-158,Hoover City,Trace Crossings Elementary School,5454 Learning Lane,,Hoover,AL,35244,4529,(205)439-2700,No,No,Not Virtual,PK,05,Elementary,1-Yes,2-No,1,Regular school,Currently operational ,13-City: Small,Jefferson County,207,170,37,64,106,88,98,109,102,109,,,,,,,,,,,,,676,676,54.5,12.4,2,1,3,32,34,66,115,98,213,0,0,0,33,32,65,38,24,62,140,127,267,33.3409,-86.8447
-86.6585,33.413,23,010000700248,2020-2021,AL,0100007,AL-158,Hoover City,Greystone Elementary School,300 Village Street,,Hoover,AL,35242,6447,(205)439-3200,No,No,Not Virtual,PK,05,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Shelby County,38,35,3,17,52,90,61,65,85,93,,,,,,,,,,,,,463,463,34.70000076,13.34,1,0,1,38,21,59,28,17,45,0,0,0,5,4,9,15,7,22,162,165,327,33.413,-86.6585
-86.8377,33.3444,24,010000700251,2020-2021,AL,0100007,AL-158,Hoover City,Hoover High School,1000 Buccaneer Drive,,Hoover,AL,35244,4511,(205)439-1200,No,No,Not Virtual,09,12,High,2-No,N,1,Regular school,Currently operational ,13-City: Small,Jefferson County,670,523,147,,,,,,,,,,,668,689,693,716,,,,,,2766,2766,204.6300049,13.52,2,2,4,95,90,185,386,371,757,0,0,0,93,115,208,75,66,141,779,692,1471,33.3444,-86.8377
-86.7322,33.3956,25,010000700337,2020-2021,AL,0100007,AL-158,Hoover City,Berry Middle School,4500 Jaguar Dr,,Hoover,AL,35242,4698,(205)439-2000,No,No,Not Virtual,06,08,Middle,2-No,N,1,Regular school,Currently operational ,13-City: Small,Shelby County,304,239,65,,,,,,,,370,366,399,1,2,3,1,,,,,,1142,1142,77.5,14.74,0,0,0,36,30,66,145,109,254,0,0,0,49,67,116,24,35,59,328,319,647,33.3956,-86.7322
-86.8784,33.3375,26,010000700342,2020-2021,AL,0100007,AL-158,Hoover City,South Shades Crest Elementary School,3770 South Shades Crest Rd,,Hoover,AL,35244,4123,(205)439-3000,No,No,Not Virtual,PK,02,Elementary,2-No,N,1,Regular school,Currently operational ,13-City: Small,Jefferson County,39,34,5,42,132,133,136,,,,,,,,,,,,,,,,443,443,33.79999924,13.11,0,0,0,20,21,41,50,51,101,0,0,0,20,9,29,15,17,32,127,113,240,33.3375,-86.8784
-86.854796,33.330923,27,010000701422,2020-2021,AL,0100007,AL-158,Hoover City,Robert F Bumpus Middle School,6055 Flemming Parkway,,Hoover,AL,35244,4590,(205)439-2200,No,No,Not Virtual,06,08,Middle,2-No,N,1,Regular school,Currently operational ,41-Rural: Fringe,Shelby County,140,109,31,,,,,,,,369,392,361,,,,,,,,,,1122,1122,71.44999695,15.7,1,0,1,56,64,120,132,142,274,0,0,0,34,23,57,36,24,60,302,308,610,33.330923,-86.854796
